cell_id,family,task,model,seed,explainer,predictor_competence_pass,test_auroc,n_calibration_rationale,n_test_rationale,fraction_grid,test_risk,mean_atom_fraction,precision,iou,random_test_risk,random_mean_atom_fraction,atom_fraction_saving_vs_random,fixed20_risk,fixed50_risk,risk_pass,efficiency_pass,oracle_fraction,oracle_calibration_risk,oracle_corrected_risk,oracle_n_calibration_rationale,oracle_test_risk,oracle_test_mean_atom_fraction,oracle_test_median_atom_fraction,oracle_test_precision,oracle_test_iou,oracle_n_test_rationale,excess_mean_atom_fraction,recoverable_efficiency,oracle_efficiency_pass
bxaic__PAINS__gin__seed2026,bxaic,PAINS,gin,2026,ig,True,0.9674401064612864,1625,1644,0.74,0.0963529289767679,0.75809815428355,0.4019899014248568,0.3813499600702026,0.0917560101433417,0.9091218677307265,0.1510237134471763,0.525771004043988,0.2297317548173107,True,True,0.33,0.09700654338737216,0.09756188991665445,1625,0.096300381249768,0.3455370467368918,0.3448275862068966,0.8426985280421067,0.7463981467923387,1644,0.4125611075466582,0.26796980298521667,True
bxaic__PAINS__gin__seed42,bxaic,PAINS,gin,42,gradinput,True,0.9708294806386224,1625,1644,0.93,0.097590076394263,0.9485539954456153,0.3323817028493914,0.3235254959569587,0.1009310918100055,0.8975096610559893,-0.0510443343896258,0.7282834695069376,0.5076196001864348,True,False,0.33,0.09700654338737216,0.09756188991665445,1625,0.096300381249768,0.3455370467368918,0.3448275862068966,0.8426985280421067,0.7463981467923387,1644,0.6030169487087235,-0.09247620817672857,True
bxaic__PAINS__gin__seed42,bxaic,PAINS,gin,42,ig,True,0.9708294806386224,1625,1644,0.84,0.10021768040983,0.8573713715364746,0.3568805125034744,0.3410907834325408,0.1009310918100055,0.8975096610559893,0.0401382895195147,0.5603485757426134,0.2760610564427851,False,False,0.33,0.09700654338737216,0.09756188991665445,1625,0.096300381249768,0.3455370467368918,0.3448275862068966,0.8426985280421067,0.7463981467923387,1644,0.5118343247995828,0.07271790026943366,True
bxaic__rings-count__gcn__seed123,bxaic,rings-count,gcn,123,gradinput,True,0.9099242400020708,4935,4933,0.88,0.0927757386435866,0.8966978540680908,0.6495155359045426,0.6101146792817989,0.0911411795277234,0.9084471118578896,0.0117492577897989,0.8697854017251487,0.5540484587450201,True,False,0.61,0.0897761368023761,0.08996054196104637,4935,0.08780356464039339,0.6277794572679153,0.625,0.9099283223771735,0.8221247577367802,4933,0.2689183968001755,0.04186181627150186,True
bxaic__rings-count__gcn__seed123,bxaic,rings-count,gcn,123,ig,True,0.9099242400020708,4935,4933,0.86,0.097189238292311,0.8772717462941478,0.6593838241892481,0.6160138859771437,0.0911411795277234,0.9084471118578896,0.0311753655637418,0.8741273695395494,0.5467574558266218,True,False,0.61,0.0897761368023761,0.08996054196104637,4935,0.08780356464039339,0.6277794572679153,0.625,0.9099283223771735,0.8221247577367802,4933,0.24949228902623255,0.11107573335903521,True
bxaic__rings-count__gcn__seed2026,bxaic,rings-count,gcn,2026,gradinput,True,0.937139831701966,4935,4933,0.91,0.0852556938192245,0.9282105650069856,0.6334656451120676,0.5991413669066097,0.0913243692012622,0.9084471118578896,-0.0197634531490957,0.8450285891789254,0.5780728039837782,True,False,0.61,0.0897761368023761,0.08996054196104637,4935,0.08780356464039339,0.6277794572679153,0.625,0.9099283223771735,0.8221247577367802,4933,0.30043110773907034,-0.07041585599868395,True
bxaic__rings-count__gcn__seed2026,bxaic,rings-count,gcn,2026,ig,True,0.937139831701966,4935,4933,0.89,0.0923034634026344,0.9084471118578896,0.6408107614211386,0.6014790294993325,0.0913243692012622,0.9084471118578896,0.0,0.85208916319805,0.545730307837119,True,False,0.61,0.0897761368023761,0.08996054196104637,4935,0.08780356464039339,0.6277794572679153,0.625,0.9099283223771735,0.8221247577367802,4933,0.28066765458997434,0.0,True
bxaic__rings-count__gcn__seed42,bxaic,rings-count,gcn,42,gradinput,True,0.9397164861733436,4935,4933,0.89,0.0928589086419125,0.9084471118578896,0.64073363042045,0.6013627524947756,0.0912160937849061,0.9084471118578896,0.0,0.8117740519634347,0.5377069918172457,True,False,0.61,0.0897761368023761,0.08996054196104637,4935,0.08780356464039339,0.6277794572679153,0.625,0.9099283223771735,0.8221247577367802,4933,0.28066765458997434,0.0,True
bxaic__rings-count__gcn__seed42,bxaic,rings-count,gcn,42,ig,True,0.9397164861733436,4935,4933,0.89,0.099682117926628,0.9084471118578896,0.6361404579511645,0.5943229360448445,0.0912160937849061,0.9084471118578896,0.0,0.846805283249323,0.5518075953761384,True,False,0.61,0.0897761368023761,0.08996054196104637,4935,0.08780356464039339,0.6277794572679153,0.625,0.9099283223771735,0.8221247577367802,4933,0.28066765458997434,0.0,True
bxaic__rings-count__gin__seed123,bxaic,rings-count,gin,123,gradinput,True,0.9972499699304668,4935,4933,0.89,0.0961332083265786,0.9084471118578896,0.6404115441928311,0.6025083358481167,0.0911411795277234,0.9084471118578896,0.0,0.8343202563339817,0.5462757747257313,True,False,0.61,0.0897761368023761,0.08996054196104637,4935,0.08780356464039339,0.6277794572679153,0.625,0.9099283223771735,0.8221247577367802,4933,0.28066765458997434,0.0,True
