cell_id,family,task,model,seed,explainer,predictor_competence_pass,test_auroc,n_calibration_rationale,n_test_rationale,fraction_grid,test_risk,mean_atom_fraction,precision,iou,random_test_risk,random_mean_atom_fraction,atom_fraction_saving_vs_random,fixed20_risk,fixed50_risk,risk_pass,efficiency_pass
bxaic__P__gin__seed123,bxaic,P,gin,123,gradinput,True,1.0,657,638,0.02,0.11289970248572498,0.03654573825758572,0.9580721003134797,0.8483071940659993,0.10577829878032718,0.9155993798160156,0.8790536415584299,0.0,0.0,False,True
bxaic__P__gin__seed123,bxaic,P,gin,123,ig,True,1.0,657,638,0.02,0.11289970248572498,0.03654573825758572,0.9580721003134797,0.8483071940659993,0.10577829878032718,0.9155993798160156,0.8790536415584299,0.0,0.0,False,True
bxaic__P__gin__seed2026,bxaic,P,gin,2026,gradinput,True,1.0,657,638,0.02,0.10976490624748046,0.03654573825758572,0.9612068965517241,0.8514419903042437,0.09115837985236841,0.9084086740208712,0.8718629357632856,0.0,0.0,False,True
bxaic__P__gin__seed2026,bxaic,P,gin,2026,ig,True,1.0,657,638,0.02,0.10976490624748046,0.03654573825758572,0.9612068965517241,0.8514419903042437,0.09115837985236841,0.9084086740208712,0.8718629357632856,0.0,0.0,False,True
bxaic__P__gin__seed42,bxaic,P,gin,42,gradinput,True,1.0,657,638,0.02,0.11289970248572498,0.03654573825758572,0.9580721003134797,0.8483071940659993,0.07424507848166341,0.9274815943093282,0.8909358560517425,0.0,0.0,False,True
bxaic__P__gin__seed42,bxaic,P,gin,42,ig,True,1.0,657,638,0.02,0.10976490624748046,0.03654573825758572,0.9612068965517241,0.8514419903042437,0.07424507848166341,0.9274815943093282,0.8909358560517425,0.0,0.0,False,True
bxaic__PAINS__gcn__seed123,bxaic,PAINS,gcn,123,gradinput,True,0.8677312795297718,1625,1644,0.89,0.09576963674243961,0.9091218677307263,0.3433532474922704,0.33229304622082867,0.09395207535800404,0.9091218677307263,0.0,0.7280697017416949,0.44668032080968373,True,False
bxaic__PAINS__gcn__seed123,bxaic,PAINS,gcn,123,ig,True,0.8677312795297718,1625,1644,0.86,0.08862644004046176,0.8782821505199192,0.35243900408036327,0.33872561193512424,0.09395207535800404,0.9091218677307263,0.030839717210807138,0.6835458342234673,0.40766855812084307,True,False
bxaic__PAINS__gcn__seed2026,bxaic,PAINS,gcn,2026,gradinput,True,0.8490070019326929,1625,1644,0.88,0.09842741786539667,0.8975096610559893,0.34385010729944726,0.3312258666054371,0.09175601014334178,0.9091218677307263,0.011612206674737058,0.698561848178912,0.4521799891245991,True,False
bxaic__PAINS__gcn__seed2026,bxaic,PAINS,gcn,2026,ig,True,0.8490070019326929,1625,1644,0.8300000000000001,0.09580133570717822,0.8488238590750994,0.3609632802117175,0.34493710985295656,0.09175601014334178,0.9091218677307263,0.060298008655626956,0.6587230921610724,0.3847906348929984,True,False
bxaic__PAINS__gcn__seed42,bxaic,PAINS,gcn,42,gradinput,True,0.8713432034839238,1625,1644,0.89,0.09931977594233815,0.9091218677307263,0.33991158941548744,0.3281042733649751,0.10093109181000556,0.8975096610559893,-0.011612206674737058,0.7555025152584035,0.4813722402160729,True,False
bxaic__PAINS__gcn__seed42,bxaic,PAINS,gcn,42,ig,True,0.8713432034839238,1625,1644,0.89,0.09730453274525726,0.9091218677307263,0.34111928160404065,0.328711801357458,0.10093109181000556,0.8975096610559893,-0.011612206674737058,0.7380470693190322,0.42966137361920786,True,False
bxaic__PAINS__gin__seed123,bxaic,PAINS,gin,123,gradinput,True,0.9693213092997706,1625,1644,0.9400000000000001,0.08501788191653958,0.9576176765857717,0.33552408255820115,0.3286465148796221,0.09395207535800404,0.9091218677307263,-0.04849580885504534,0.7066649470841255,0.4927720862408779,True,False
bxaic__PAINS__gin__seed123,bxaic,PAINS,gin,123,ig,True,0.9693213092997706,1625,1644,0.8,0.09777046625151047,0.8149319138164086,0.37331516964207756,0.3556918886306996,0.09395207535800404,0.9091218677307263,0.09418995391431773,0.608455432735569,0.2804851543959134,True,False
bxaic__PAINS__gin__seed2026,bxaic,PAINS,gin,2026,gradinput,True,0.9674401064612863,1625,1644,0.9400000000000001,0.08382610151860423,0.9576176765857717,0.33517638115298576,0.3282285973504502,0.09175601014334178,0.9091218677307263,-0.04849580885504534,0.7372493281931769,0.5236204325698418,True,False
bxaic__PAINS__gin__seed2026,bxaic,PAINS,gin,2026,ig,True,0.9674401064612863,1625,1644,0.74,0.09635292897676799,0.75809815428355,0.40198990142485685,0.38134996007020266,0.09175601014334178,0.9091218677307263,0.15102371344717636,0.525771004043988,0.22973175481731078,True,True
bxaic__PAINS__gin__seed42,bxaic,PAINS,gin,42,gradinput,True,0.9708294806386225,1625,1644,0.93,0.09759007639426302,0.9485539954456151,0.3323817028493914,0.3235254959569587,0.10093109181000556,0.8975096610559893,-0.051044334389625856,0.7282834695069376,0.5076196001864348,True,False
bxaic__PAINS__gin__seed42,bxaic,PAINS,gin,42,ig,True,0.9708294806386225,1625,1644,0.84,0.10021768040983,0.8573713715364746,0.3568805125034744,0.34109078343254084,0.10093109181000556,0.8975096610559893,0.0401382895195147,0.5603485757426134,0.2760610564427851,False,False
bxaic__rings-count__gcn__seed123,bxaic,rings-count,gcn,123,gradinput,True,0.9099242400020707,4935,4933,0.88,0.0927757386435866,0.8966978540680908,0.6495155359045426,0.6101146792817989,0.0911411795277234,0.9084471118578897,0.011749257789798961,0.8697854017251487,0.5540484587450201,True,False
