cell_id,family,task,model,seed,method,n_calibration,n_test,risk,atom_fraction,precision,iou,selected_grid_fraction,risk_pass,efficiency_pass
bxaic__PAINS__gcn__seed2026,bxaic,PAINS,gcn,2026,ig,100,100,0.0693257196020354,0.8798495311356647,0.33341122814331015,0.32406469254769754,0.86,True,False
bxaic__PAINS__gcn__seed2026,bxaic,PAINS,gcn,2026,saliency,100,100,0.05916520467836257,0.8874475247500595,0.33489397323565817,0.3274298354358647,0.87,True,False
bxaic__PAINS__gcn__seed2026,bxaic,PAINS,gcn,2026,atom_occlusion,100,100,0.07562009189640768,0.8662478624341222,0.3372791168808721,0.32795053600013735,0.85,True,False
bxaic__PAINS__gcn__seed2026,bxaic,PAINS,gcn,2026,gnnexplainer,100,100,0.061325700615174304,0.9086314899912651,0.32542190703850643,0.3169341380119403,0.89,True,False
bxaic__PAINS__gcn__seed42,bxaic,PAINS,gcn,42,gradinput,100,100,0.08765903394850763,0.9148543102339801,0.3157130951216236,0.30614306777283623,0.9,True,False
bxaic__PAINS__gcn__seed42,bxaic,PAINS,gcn,42,ig,100,100,0.08851330978962556,0.9148543102339801,0.315938163123814,0.3060302803301625,0.9,True,False
bxaic__PAINS__gcn__seed42,bxaic,PAINS,gcn,42,saliency,100,100,0.07107662147793728,0.8798495311356647,0.3329913570209483,0.32405462069092267,0.86,True,False
bxaic__PAINS__gcn__seed42,bxaic,PAINS,gcn,42,atom_occlusion,100,100,0.08873226627173995,0.8378890179941392,0.3421119306002126,0.3304119705730516,0.8200000000000001,True,False
bxaic__PAINS__gcn__seed42,bxaic,PAINS,gcn,42,gnnexplainer,100,100,0.0951338383838384,0.8874475247500595,0.32169182298163945,0.3101749753284884,0.87,True,False
bxaic__PAINS__gin__seed123,bxaic,PAINS,gin,123,gradinput,100,100,0.09471426672742464,0.9558587845984021,0.3100493411755004,0.3040761261789675,0.9400000000000001,True,False
bxaic__PAINS__gin__seed123,bxaic,PAINS,gin,123,ig,100,100,0.08011866788182578,0.8301686354408153,0.34567294511561725,0.3328263758688505,0.81,True,False
bxaic__PAINS__gin__seed123,bxaic,PAINS,gin,123,saliency,100,100,0.08433095048226626,0.7293443949763498,0.38985040957764966,0.3713034800586965,0.71,True,True
bxaic__PAINS__gin__seed123,bxaic,PAINS,gin,123,atom_occlusion,100,100,0.07365436318067896,0.7073814558855185,0.40809656009565687,0.3939227319894455,0.6900000000000001,True,True
bxaic__PAINS__gin__seed123,bxaic,PAINS,gin,123,gnnexplainer,100,100,0.08034321599453179,0.9148543102339801,0.3204555948189636,0.31183842238618265,0.9,True,False
bxaic__PAINS__gin__seed2026,bxaic,PAINS,gin,2026,gradinput,100,100,0.11501475279106858,0.9490784024427191,0.30524964705956337,0.29687445248739763,0.93,False,False
bxaic__PAINS__gin__seed2026,bxaic,PAINS,gin,2026,ig,100,100,0.0876731032125769,0.7758113785221957,0.36879935248816603,0.35329107911624874,0.76,True,True
bxaic__PAINS__gin__seed2026,bxaic,PAINS,gin,2026,saliency,100,100,0.07270813397129187,0.757421394510063,0.3847662646816838,0.3721194610142572,0.74,True,True
bxaic__PAINS__gin__seed2026,bxaic,PAINS,gin,2026,atom_occlusion,100,100,0.10778630287840815,0.6396484956141744,0.4326898540498293,0.40836035376534846,0.62,False,True
bxaic__PAINS__gin__seed2026,bxaic,PAINS,gin,2026,gnnexplainer,100,100,0.09638434153565731,0.9086314899912651,0.3135995205201068,0.30220548180070306,0.89,True,False
bxaic__PAINS__gin__seed42,bxaic,PAINS,gin,42,gradinput,100,100,0.11227701830333409,0.9490784024427191,0.3053599082614717,0.2975028159045946,0.93,False,False
bxaic__PAINS__gin__seed42,bxaic,PAINS,gin,42,ig,100,100,0.08219819434951015,0.8874475247500595,0.3276276225847864,0.3177341105281731,0.87,True,False
bxaic__PAINS__gin__seed42,bxaic,PAINS,gin,42,saliency,100,100,0.05433491873623453,0.7178367194943758,0.4124317330248926,0.39926595191470304,0.7000000000000001,True,True
bxaic__PAINS__gin__seed42,bxaic,PAINS,gin,42,atom_occlusion,100,100,0.09008794714057872,0.6150398605177398,0.4677176156547713,0.4484054043611745,0.6,True,True
bxaic__PAINS__gin__seed42,bxaic,PAINS,gin,42,gnnexplainer,100,100,0.086373556998557,0.9283586838208707,0.31172708675607985,0.3027534132017433,0.91,True,False
